user_name,repo_name,star,repo_url
public-apis,public-apis,125000,https://github.com//public-apis/public-apis
httpie,httpie,50800,https://github.com//httpie/httpie
neovim,neovim,43800,https://github.com//neovim/neovim
strapi,strapi,36500,https://github.com//strapi/strapi
slatedocs,slate,32600,https://github.com//slatedocs/slate
tiangolo,fastapi,31200,https://github.com//tiangolo/fastapi
hoppscotch,hoppscotch,29100,https://github.com//hoppscotch/hoppscotch
littlecodersh,ItChat,21400,https://github.com//littlecodersh/ItChat
encode,django-rest-framework,21000,https://github.com//encode/django-rest-framework
YMFE,yapi,20900,https://github.com//YMFE/yapi
paularmstrong,normalizr,20100,https://github.com//paularmstrong/normalizr
Binaryify,NeteaseCloudMusicApi,19900,https://github.com//Binaryify/NeteaseCloudMusicApi
FallibleInc,security-guide-for-developers,19700,https://github.com//FallibleInc/security-guide-for-developers
ccxt,ccxt,19500,https://github.com//ccxt/ccxt
microsoft,api-guidelines,17100,https://github.com//microsoft/api-guidelines
Kong,insomnia,16300,https://github.com//Kong/insomnia
shieldfy,API-Security-Checklist,15600,https://github.com//shieldfy/API-Security-Checklist
learn-anything,learn-anything,13000,https://github.com//learn-anything/learn-anything
youfou,wxpy,12700,https://github.com//youfou/wxpy
BrainJS,brain.js,12000,https://github.com//BrainJS/brain.js
jsdoc,jsdoc,11900,https://github.com//jsdoc/jsdoc
directus,directus,10900,https://github.com//directus/directus
ChainSafe,web3.js,10300,https://github.com//ChainSafe/web3.js
graphile,postgraphile,10300,https://github.com//graphile/postgraphile
postmanlabs,httpbin,9800,https://github.com//postmanlabs/httpbin
go-chi,chi,9400,https://github.com//go-chi/chi
ruby-grape,grape,9300,https://github.com//ruby-grape/grape
star7th,showdoc,8900,https://github.com//star7th/showdoc
zealdocs,zeal,8800,https://github.com//zealdocs/zeal
lihengming,spring-boot-api-project-seed,8700,https://github.com//lihengming/spring-boot-api-project-seed
