user_name,repo_name,star,repo_url
iamadamdev,bypass-paywalls-chrome,15400,https://github.com//iamadamdev/bypass-paywalls-chrome
sindresorhus,refined-github,14500,https://github.com//sindresorhus/refined-github
checkly,headless-recorder,13000,https://github.com//checkly/headless-recorder
unbug,codelf,11400,https://github.com//unbug/codelf
darkreader,darkreader,10100,https://github.com//darkreader/darkreader
listen1,listen1_chrome_extension,7500,https://github.com//listen1/listen1_chrome_extension
appbaseio,dejavu,7300,https://github.com//appbaseio/dejavu
alyssaxuu,screenity,5500,https://github.com//alyssaxuu/screenity
Kenshin,simpread,4600,https://github.com//Kenshin/simpread
manojVivek,medium-unlimited,3700,https://github.com//manojVivek/medium-unlimited
dejan,rails_panel,3600,https://github.com//dejan/rails_panel
dessant,buster,3600,https://github.com//dessant/buster
zxlie,FeHelper,3500,https://github.com//zxlie/FeHelper
bilibili-helper,bilibili-helper-o,3500,https://github.com//bilibili-helper/bilibili-helper-o
KartikTalwar,gmail.js,3400,https://github.com//KartikTalwar/gmail.js
dailydotdev,daily,3400,https://github.com//dailydotdev/daily
imolorhe,altair,3400,https://github.com//imolorhe/altair
openstyles,stylus,3300,https://github.com//openstyles/stylus
lmk123,crx-selection-translate,3300,https://github.com//lmk123/crx-selection-translate
gildas-lormeau,SingleFile,3300,https://github.com//gildas-lormeau/SingleFile
honestbleeps,Reddit-Enhancement-Suite,3200,https://github.com//honestbleeps/Reddit-Enhancement-Suite
WorldBrain,Memex,3100,https://github.com//WorldBrain/Memex
sunoj,jjb,3000,https://github.com//sunoj/jjb
vinta,pangu.js,3000,https://github.com//vinta/pangu.js
EmailThis,extension-boilerplate,2800,https://github.com//EmailThis/extension-boilerplate
RetireJS,retire.js,2700,https://github.com//RetireJS/retire.js
webclipper,web-clipper,2700,https://github.com//webclipper/web-clipper
fregante,GhostText,2500,https://github.com//fregante/GhostText
tulios,json-viewer,2400,https://github.com//tulios/json-viewer
ajayyy,SponsorBlock,2300,https://github.com//ajayyy/SponsorBlock
